Name
Memoirs of the Life, Public and Private Adventures of Madame Vestris. George Colman, John Duncombe, 1826.
Personal Reminiscences of Henry Irving. Bram Stoker, Macmillan 1906.
Gordon Craig and the Theatre. Enid Rose, Sampson Low Marston, 1931.
Associating with Shakespeare. Harley Granville-Barker, Oxford University Press, 1932.
At 33. Eva Le Gallienne, Longmans, Green and Co., 1934.
Everybody’s Shakespeare: Three Plays (The Merchant of Venice, Julius Caesar, and Twelfth Night). Edited for Reading and Arranged for Staging. Orson Welles and Roger Hill, Todd Press, 1934. (Reprinted as The Mercury Shakespeare. New York: Harper, 1939)
Myself a Player. Lena Ashwell, Michael Joseph Ltd., 1936.
My Life in the Russian Theatre. Vladimir Nemirovich-Danchenko, trans. John Cournos, Little, Brown, 1936.
Moscow Rehearsals: An Account of Methods of Production in the Soviet Theatre. 
John Gielgud’s Hamlet: A Record of Performance. Rosamond Gilder, Methuen, 1937.
To a Lonely Boy. Arthur Hopkins, Country Life Press, 1937.
The Theatre and Its Double. Antonin Artaud, 1938. (Trans. Victor Corti. John Calder, 1981.)
Otto Brahm, the Man and the Critic. Maxim Newmark, G.E. Stechert, 1938.
Fundamentals of Play Directing. Alexander Dean, Holt, Rinehart & Co., 1941. (5th edition, Waveland Press, 2009, coauthored by Lawrence Carra) (2nd edition, 1965)
On the Technique of Acting. Michael Chekhov, 1942. (Reissued as To the Actor, Routledge, 2002.)
Shakespeare Without Tears. Margaret Webster, Whittlesey House, 1942. (Rev. edition, Globe, 1955.)
The Art of Play Directing: A Tentative Bibliography. Alice C. Owen, Simmons College, 1943.
Orson Welles: A First Biography. Roy Alexander Fowler, Pendulum, 1946.
Prefaces to Shakespeare. 5 volumes. Harley Granville-Barker, Sidgwick and Jackson, 1927-47. (US: Princeton University Press, 1947.)
Adventure in the Theatre: Lugné-Poe and the Théâtre de l’Oeuvre to 1899. Gertrude B. Jasper, Rutgers University Press, 1947.
Edward Gordon Craig: Designs for the Theatre. Janet Leeper, Harmondsworth, 1948.
Reference Point. Arthur Hopkins, Samuel French, 1948.
Edy: Recollections of Edith Craig, Eleanor Adlard, ed., Frederick Muller, 1949
Theatre, Drama, and Audience in Goethe’s Germany. W.H. Bruford, Routledge and Kegan Paul, 1950.
Five Seasons of the Old Vic Theatre Company. Laurence Olivier and Michel Saint-Denis, Saturn Press, 1950.
Five Seasons of the Old Vic Theatre Company. Laurence Olivier and Michel Saint-Denis, Saturn Press, 1950.
The Rehearsal Copies of Bernard Shaw’s Plays. F.E. Loewenstein, Reinhardt and Evans, 1950.
Stanislavsky on the Art of the Stage, Konstantin Stanislavsky, trans. David Margarshack, Faber & Faber, 1950.
Reflections on the Theatre. Jean-Louis Barrault, trans. Barbara Wall. London: Rockliff, 1951.
Enter David Garrick. Anna Bird Stewart, J.B. Lippincott, 1951.
Theatre-in-the-Round. Margo Jones, Rinehart and Company, 1951.
The Magic Curtain: The Story of a Life in Two Fields, Theatre and Invention. Lawrence Langner, E.P. Dutton, 1951.
Stanislavsky: A Life. David Magarshack, Chanticleer Press, 1951.
But Not Forgotten: The Adventure of the University Players. Norris Houghton, William Shane Associates, 1951.
Henry Irving: The Actor and His World. Laurence Irving, Macmillan, 1952.
The Seagull Produced by Stanislavsky, Konstantin Stanislavsky, ed. S.D. Balukhaty, trans. David Margarshack, Denis Dobson, 1952.
With a Quiet Heart. Eva Le Gallienne, Viking, 1953.
Play Direction. John E. Dietrich, Prentice-Hall, 1953. (2nd edition, same pub., 1983, co-author Ralph W. Duckwall)
Directing the Play: A sourcebook of stagecraft
The Bishop of Broadway: The Life and Work of David Belasco. Craig Timberlake, Library Publishers, 1954.
Twice Have the Trumpets Sounded: A Record of the Stratford Shakespearean Festival in Canada. Tyrone Guthrie, Robertson Davies and Grant Macdonald, Clarke, Irwin, 1954.
William Poel and the Elizabethan Revival. Robert Speaight, Heinemann, 1954.
Theatrical Companion to Shaw. Raymond Mander and Joe Mitchenson, Rockliff, 1954.
Stanislavsky Directs. Nikolai M. Gorchakov, trans. Miriam Goldina, Funk & Wagnalls, 1954. [Limelight, 1985.]
Me and Kit. Guthrie McClintic, Little, Brown, 1955.
The Theater of Augustin Daly: An Account of the Late Nineteenth Century American Stage. Marvin Felheim, Harvard University, 1956.
On Dramatic Method. Harley Granville-Barker, Hill & Wang, 1956.
Harley Granville-Barker. C.B. Purdom, Harvard University Press, 1956.
Bernard Shaw’s Letters to Granville Barker. C.B. Purdom, ed., Phoenix House, 1956.
Bernard Shaw’s Letters to Granville Barker. C.B. Purdom, ed., Phoenix House, 1956.
Beerbohm Tree: His Life and Laughter. Hesketh Pearson, Methuen, 1956.
The Fabulous Orson Welles. Peter Noble, Hutchinson, 1956.
The Fervent Years: The Story of the Group Theatre and the Thirties. Rev. ed. Harold Clurman, Hill & Wang, 1957.
Theatrical Companion to Coward: A Pictorial Record of the Theatrical Works of Noel Coward. Raymond Mander and Joe Mitchenson, Macmillan, 1957. (2nd edition, updated by Barry Day and Sheridan Morley, London: Oberon Books, 2000)
Index to the Story of My Days. Edward Gordon Craig, Viking, 1957.
Louis Jouvet, Man of the Theatre. Bettina L. Knapp, Columbia University Press, 1957.
Shakespeare Today. Margaret Webster, Dent, 1957.
Method – or Madness? Robert Lewis, Samuel French, 1958.
The Theatre and Its Double. Antonin Artaud, trans. Mary Caroline Richard. New York: Grove Press, 1958.
The Theater of Bertolt Brecht: A Study from Eight Aspects. John Willett, Methuen, 1959.
A Life in the Theatre. Tyrone Guthrie, McGraw-Hill, 1959.
Act One: An Autobiography. Moss Hart, Random House, 1959.
“Rules for Directors.” In Shaw on Theatre. George Bernard Shaw, edited by E.J. West, Hill and Wang, 1959.
The Vakhtanov School of Stage Art. Nikolai Gorchakoff, edited by Phil Griffith, Foreign Languages Publishing House 1959
Brecht: The Man and His Work. Martin Esslin, Doubleday, 1960.
Theater: The Rediscovery of Style. Michel Saint-Denis, Theatre Arts Books, 1960.
David Garrick, Director. Kalman A. Burnim, University of Pittsburgh Press, 1961.
A Drama of Political Man: A Study in the Plays of Harley Granville Barker. Margery M. Morgan, Sidgwick & Jackson, 1961.
Theatre: The Rediscovery of Style. Michel Saint-Denis, Theatre Arts Books, 1961.
Theatre of the Absurd. Martin Esslin, Heinemann, 1961. (3rd edition, 2004)
The Theatre of Jean-Louis Barrault. Jean-Louis Barrault, trans. Joseph Chiari, Hill and Wang, 1962.
The Hollow Crown: An Entertainment by and About the Kings and Queens of England. John Barton, Samuel French, 1962.
The Director and the Script: Visualizing the Stage Directions. (LP record) Tyrone Guthrie, Folkways, 1962.
Return Engagement: A Postscript to “Moscow Rehearsals”.1962.
“Mister Abbott.” George Abbott, Random House, 1963.
The Story of the Meiningen. Max Grube, trans. Ann Marie Koller, edited by Wendell Coles, University of Florida Press, 1963
Stage Directions. John Gielgud, Theatre Arts Books, 1963.
In Various Directions: A View of Theatre. Tyrone Guthrie, Macmillan, 1963.
Watchman, What of the Night? Jed Harris, Doubleday, 1963.
The Political Theatre: A History 1914-1929. Erwin Piscator, translated with notes by Hugh Rorrison, Methuen, 1963.
The Craft of Play Directing. , 1963.
The Director in the Theatre.  Macmillan, 1963.
Stage Directions. John Gielgud, 1963.
Directors on Directing: A Source Book of the Modern Theater.  1963.
Memories of the Théâtre Libre. André Antoine, trans. Marvin Carlson. University of Miami Press, 1964.
Brecht on Theatre, Bertolt Brecht, trans. and ed. by John Willett. New York: Hill & Wang, 1964.
A New Theatre. Tyrone Guthrie, McGraw-Hill, 1964.
Antonin Artaud Anthology. Jack Hirschman, editor, City Lights Books, 1965. (2nd rev. ed.)
Strasberg at the Actors Studio. R.H. Hethmon, ed., TCG, 1965.
Fundamentals of Play Directing. Alexander Dean, Holt, Rinehart & Co., 1965
Directing for the Theatre. W. David Sievers Wm. C. Brown Company, 1974. 
The Theatre of Edward Gordon Craig. Denis Bablet, trans. Daphne Woodward, Theatre Arts Books 1966.
Olivier / Shakespeare. Peter Whitehead and Robin Bean, comp. Lorrimer Films Ltd., 1966.
Stanislavski and America. Erika Munk, ed., Fawcett, 1966.
Shakespeare Our Contemporary, Jan Kott, trans. Boleslaw Taborski. Garden City, NY: Doubleday Anchor, 1966.
Bertolt Brecht: His Life, His Art and His Times. Frederic Ewen, Citadel, 1967.
Edward Gordon Craig: A Bibliography. Ifan Kyrle Fletcher and Arnold Rood, Society for Theatre Research, 1967.
Edward Gordon Craig: Artist of the Theatre. Arnold Rood and Donald Oenslager, 1967.
John Gielgud Directs Richard Burton in “Hamlet”: A Journal of Rehearsals. Richard L. Sterne, Random House, 1967.
The Piscator Experiment: The Political Theatre. Maria Ley-Piscator, Southern Illinois University Press, 1967.
An Actor Prepares. Konstantin Stanislavsky, trans. Elizabeth Reynolds Hapgood, Penguin, 1967.
The Empty Space: A Book About the Theatre – Deadly, Holy, Rough, Immediate. Peter Brook, Atheneum, 1968.
Gordon Craig: The Story of His Life. Edward Craig, Alfred A. Knopf, 1968.
Towards a Poor Theatre. Jerzy Grotowski, Simon & Schuster, 1968.
In Search of an Audience: How an Audience Was Found for the Tyrone Guthrie Theatre. Bradley G. Morison, Pitman, 1968.
Laurence Olivier. William Darlington, Morgan Grampian, 1968.
Max Reinhardt and His Theatre. Oliver M. Sayler and Mariele S. Gudernatsch, ed., Benjamin Blom, 1968.
Building a Character. Konstantin Stanislavsky, trans. Elizabeth Reynolds Hapgood, Methuen, 1968.
The Empty Space: A Book About Theatre – Deadly, Holy, Rough, Immediate. Peter Brook, Atheneum, 1968.
Letters to Roger Blin: Reflections on the Theater. Jean Genet, Random House, 1969.
Dion Boucicault. Robert Hogan, Twayne, 1969.
A Talent to Amuse. Sheridan Morley, Doubleday, 1969.
Meyerhold on Theatre. Vsevolod Meyerhold, translated and edited by Edward Braun, Hill and Wang, 1969.
William Shakespeare’s “Naked” Hamlet: A Production Handbook. Joseph Papp and Ted Cornell, Macmillan, 1969.
Public Domain. Richard Schechner, Bobbs-Merrill, 1969.
Notes of a Director. Alexander Tairov, trans. William Kuhlke, University of Miami Press, 1969.
Stanislavsky’s Protégé: Eugene Vakhtangov. Ruben Simonov, translated and adapted by Miriam Goldina, edited by Helen Choat, DBS Publications, 1969.
The Same Only Different: Five Generations of a Great Theatre Family. Margaret Webster, Gollancz, 1969.
Towards a Poor Theatre. Jerzy Grotowski, Simon & Schuster, 1969
The Wars of the Roses. John Barton and Peter Hall, BBC Press, 1970.
We, The Living Theatre. Aldo Rostagno, Julian Beck, Judith Malina, Ballantine, 1970.
The Theatre in Life. Peter Nikolai Evreinoff, edited and trans. Alexander I. Nazaroff, Benjamin Blom, 1970.
Minneapolis Rehearsals: Tyrone Guthrie Directs “Hamlet.” Alfred Rossi, University of California Press, 1970.
The Wars of the Roses. John Barton and Peter Hall, BBC Press, 1970.
Rouben Mamoulian. Tom Milne, Indiana University Press, 1970.
Dionysus in 69. Richard Schechner, ed., Farrar, Straus and Giroux, 1970.
The Seagull Produced by Stanislavski. S.D. Balukhaty, Dennis Dobson, 1970.
Directing Methods. Albert Johnson and Bertha Johnson, A.S. Barnes, 1970.
Antonin Artaud: Poet Without Words, Naomi Greene, Touchstone, 1971.
Paradise Now. Julian Beck, Judith Malina, Vintage, 1971.
The Messingkauf Dialogues. Bertolt Brecht, Eyre Methuen, 1971.
Peter Brook: A Biography. J.C. Trewin, Macdonald, 1971.
John Gielgud. Ronald Hayman, Random House, 1971.
Tyrone Guthrie On Acting. Tyrone Guthrie, Studio Vista, 1971.
George S. Kaufman: His Life, His Theater. Malcolm Goldstein, Oxford University Press, 1971.
Meyerhold’s Theatre of the Grotesque: Post-Revolutionary Productions, 1920-1932. James M. Symons, University of Miami Press, 1971.
The Making of a Musical. Richard Altman and Mervyn Kaufman, Crown, 1971.
Bernard Shaw, Director. Bernard F. Dukore, University of Washington Press, 1971.
Orson Welles. Maurice Bessy, trans. Ciba Vaughan, Crown, 1971.
Play Directing: Analysis, Communication, and Style. Francis Hodge, Prentice-Hall, 1971.
Theatrical Direction: The Basic Techniques. David Welker, Allyn & Bacon, 1971.
The Life of the Theatre. Julian Beck, City Lights, 1972.
The Essential Brecht. John Fuegi, Hennessy and Ingalls, 1972.
The Presence of the Actor. Joseph Chaikin, Atheneum, 1972.
A Writer’s Theatre: George Devine and the English Stage Company at the Royal Court, 1956-1965. Marcus Tschudin, Peter Lang, 1972.
Distinguished Company. John Gielgud, Heinemann, 1972.
Grotowski. Ramonde Temkine, trans. Alex Szogyi, Avon, 1972.
Run-Through. John Houseman, Simon & Schuster, 1972.
George S. Kaufman: An Intimate Portrait. Howard Teichmann, Atheneum, 1972.
The Theatre Guild: The Vintage Years 1929-1939. Roy Waldau, Case Western Reserve University, 1972.
Don’t Put Your Daughter on the Stage. Margaret Webster, Alfred A. Knopf, 1972.
Orson Welles. Joseph McBride, Viking, 1972.
Stage Direction in Transition. Hardie Albright, Dickenson, 1972.
On Directing. Harold Clurman, Macmillan, 1972.
The Dramatic Concepts of Antonin Artaud. E. Sellin, University of Chicago Press, 1973.
The Genius of Busby Berkeley. Bob Pike and Dave Martin, CFS Books, 1973.
The Busby Berkeley Book. Tony Thomas and Jim Terry. New York Graphic Society, 1973.
On What Makes a Director. Elia Kazan, Directors Guild of America, Inc., 1973. (pamphlet, reprinted January 1990)
Confessions of a Counterfeit Critic: A London Theatre Notebook, 1958-1971. Charles Marowitz, Methuen, 1973.
Olivier. Logan Gourlay, ed. Stein and Day, 1973.
Erwin Piscator’s Political Theatre: The Development of Modern German Drama. C.D. Innes, Cambridge University Press, 1973
Environmental Theatre. Richard Schechner, Hawthorne Books, 1973. [Expanded edition: Applause, 2000.]
Madame Vestris: A Theatrical Biography. Clifford John Williams, Sidgwick and Jackson, 1973.
A Director Prepares. Stanley L. Glenn, Dickenson Publishing, 1973.
Creating Theatre: The Art of Theatrical Directing. August W. Staub, Harper & Row, 1973.
Memories for Tomorrow. Jean-Louis Barrault, trans. Jonathan Griffin, Dutton, 1974.
Peter Brook’s Production of William Shakespeare’s A Midsummer Night’s Dream. Glenn Loney, ed., Dramatic Publishing, 1974.
A Book on the Open Theatre. Robert Pasolli, Avon, 1974.
All People are Famous (Instead of an Autobiography). Harold Clurman, Harcourt Brace Jovanovich, 1974.
On Directing. Harold Clurman, Macmillan, 1974.
David Garrick. Carola Oman, Hodder & Stoughton, 1974.
The Royal Shakespeare Company: The Peter Hall Years. David Addenbrooke, William Kimber, 1974.
Hollywood. Garson Kanin, Viking Press, 1974.
George S. Kaufman and His Friends. Scott Meredith, Doubleday, 1974.
Meyerhold: The Art of Conscious Theater. Marjorie L. Hoover, University of Massachusetts Press, 1974.
Enter Joseph Papp: In Search of a New American Theater, Stuart W. Little, Coward, McCann & Geoghegan, 1974.
Contradictions: Notes on Twenty-Six Years in the Theatre. Harold Prince, Dodd, Mead, 1974.
If You Don’t Dance, They Beat You. José Quintero, Little, Brown, 1974.
Madame Vestris and the London Stage. William W. Appleton, Columbia University Press, 1974.
Directing for the Theatre (3rd rev. ed.). W. David Sievers, Harry E. Stiver, Jr., and Stanley Kahan, Wm. C. Brown Company, 1974.
Creative Play Direction. 
Directors’ Theatre. 1974.
David Belasco: Naturalism in the American Theatre. Lise-Lone Marker, Princeton University Press, 1975.
Bertolt Brecht’s Berlin: A Scrapbook of the Twenties. Wolf von Eckardt, Anchor Press, 1975.
Playwrights’ Theatre: The English Stage Company at the Royal Court. Terry Browne, Pitman, 1975.
The Sound of Two Hands Clapping. Kenneth Tynan, Holt, Rinehart and Winston, 1975.
Olivier. John Cottrell, Prentice-Hall, 1975.
First Reading to First Night: A Candid Look at Stage Directing. Malcolm Black, University of Washington Press, 1975.
Antonin Artaud: The Man and His Work. Martin Esslin, Calder Publications, 1976.
Remembered Laughter: The Life of Noel Coward. Cole Lesley, Alfred A. Knopf, 1976.
Richard Foreman: Plays and Manifestos. Richard Foreman, edited by Kate Davy, New York University Press, 1976.
Tyrone Guthrie: A Biography. James Forsyth, Hamish Hamilton, 1976.
My Side: An Autobiography. Ruth Gordon, Harper & Row, 1976.
Josh: My Up and Down, In and Out Life. Josh Logan, Delacorte Press, 1976.
Focus on Orson Welles. Ronald Gottesman, ed., Prentice-Hall, 1976.
Directors on Directing: A Source Book of the Modern Theater. 2nd rev. ed., Allyn & Bacon, 1976
The Director in a Changing Theatre: Essays on Theory and Practice, with New Plays for Performance.
The Theatre of Images. Bonnie Marranca, Drama Book Specialists, 1977.
Conference of the Birds: The Story of Peter Brook in Africa. John Heilpern, Methuen, 1977. (Rev. edition, 1989.)
Astonish Us in the Morning: Tyrone Guthrie Remembered. Alfred Rossi, Hutchinson, 1977.
A Life in a Wooden O: Memoirs of the Theatre. Ben Iden Payne, Yale University Press, 1977.
The Theatre of Orson Welles. Richard France, Bucknell University Press, 1977.
Orson Welles: Actor and Director. Joseph McBride, Oxford University Press, 1977.
Brecht: A Biography. K. Volker, trans. John Nowell, Continuum Publishing Group, 1978.
Maverick: A Director’s Personal Experience in Opera and Theatre. Frank Corsaro, Vanguard Press, 1978.
The Theatres of George Devine. Irving Wardle, Jonathan Cape, 1978.
Garrick. Margaret Barton, Greenwood Press, 1978.
Goethe and the Weimar Theatre. Marvin Carlson, Cornell University Press, 1978.
George S. Kaufman and the Algonquin Round Table. Scott Meredith, Allen & Unwin, 1978.
Movie Stars, Real People, and Me. Josh Logan, Delacorte Press, 1978.
Orson Welles: A Critical View. André Bazin, trans. Jonathan Rosenbaum, Harper & Row, 1978.
The Magic World of Orson Welles. James Naremore, Oxford University Press, 1978. (New and rev. ed., Dallas: Southern Methodist University Press, 1989)
The Theater of Visions: Robert Wilson. Stefan Brecht, Methuen, 1978.
The Floating Islands. Eugenio Barba, Drama, 1979.
Theater: Ingmar Bergman as Theater Director. Lise-Lone Marker, Frederick Marker, Yale University Press, 1979.
Theatre of the Oppressed. Augusto Boal, trans. Charles A. and Maria-Odilia Leal McBride. New York: Urizen Books, 1979
Dion Boucicault: A Biography. Richard Fawkes, Quartet, 1979.
Animations: A Trilogy for Mabou Mines. Lee Breuer, PAJ Press, 1979.
Noel Coward and His Friends. Cole Lesley, Graham Payn & Sheridan Morley, Morrow, 1979.
David Garrick: A Critical Biography. George Winchester Stone, Jr. and George M. Kahrl, Southern Illinois University Press, 1979.
A Dance on the High Wire: A Unique Memoir of the Theatre. Jed Harris, Crown, 1979.
Front and Center. John Houseman, Simon & Schuster, 1979.
The Theatre of Erwin Piscator: Half a Century of Politics in the Theatre. John Willett, Holmes and Meier, 1979.
Poetry on the Stage: William Poel, Producer of Verse Drama. Bernice Larson Webb, The Edwin Mellen Press Ltd., 1979.
The Genius: A Memoir of Max Reinhardt by His Son. Gottfried Reinhardt, Alfred A. Knopf, 1979.
Stanislavski in Rehearsal: The Final Years. Vasily Osopivich Toporkov, trans. Christine Edwards, Theatre Arts Books, 1979
“The Great Lover”: The Life and Art of Herbert Beerbohm Tree. Madeleine Bingham, Atheneum, 1979.
Antonin Artaud: Man of Vision. Bettina L. Knapp, Swallow Press, 1980.
Bertolt Brecht in America. James K. Lyon, Princeton University Press, 1980.
Henry Irving at the Lyceum (Theatre in Focus). George Taylor, Chadwyck-Healey, 1980/87
Advice to the Players. Robert Lewis, Harper and Row, 1980.
Meyerhold at Work. Paul Schmidt, ed., University of Texas Press, 1980.
Laurence Olivier, Theater & Cinema. Robert L. Daniels, A.S. Barnes, 1980.
Lee Strasberg: The Imperfect Genius of the Actors Studio. Cindy Heller Adams, Doubleday, 1980.
Conversations with Ayckbourn. Ian Watson, Macdonald, 1981.
The Greeks. John Barton and Kenneth Cavander, Heinemann, 1981.
The Theatre Director Otto Brahm. Horst Claus, UMI Research Press, 1981.
25 Years of the English Stage Company at the Royal Court. Richard Findlater, ed., Amber Lane Press, 1981.
Theatre at Work: The Story of the National Theatre’s Production of Brecht’s ‘Galileo.’ John Hiley, Routledge and Kegan Paul, 1981
Richard Foreman and the Ontological-Hysteric Theatre. Kate Davy, UMI Research Press, 1981.
The Plays of David Garrick: Complete Collection of the Social Satire, French Adaptations, Pantomimes, Christmas and Musical Plays, Preludes, Interludes. David Garrick, Southern Illinois University Press, 1981.
The Meiningen Theater 1776-1926. Steven DeHart, UMI Research Press, 1981.
Henry Irving, Shakespearean. Alan Hughes, Cambridge University Press, 1981.
The Theatre Workshop Story. Howard Goorney, Eyre Methuen, 1981.
Sir Larry: The Life of Laurence Olivier. Thomas Kiernan, Times Books, 1981.
Roger Planchon: Director and Playwright. Yvette Daoust, Cambridge University Press, 1981. (Reissued 2010.)
Peter Stein: Germany’s Leading Theatre Director (Directors in Perspective). Michael Patterson, Cambridge University Press, 1981
An Actor’s/Director’s Preparation and Scene Book. 
Ingmar Bergman and the Rituals of Art. Paisley Livingston, Cornell University Press, 1982.
The Making of A Midsummer Night’s Dream: An Eyewitness Account of Peter Brook’s Production from First Rehearsal to First Night. David Selbourne, Methuen, 1982.
The Noel Coward Diaries. Graham Payne and Sheridan Morley, editors, Little, Brown, 1982.
Harley Granville Barker. Elmer W. Salenius, Twayne, 1982.
The Royal Shakespeare Company: A History of Ten Decades. Sally Beauman, Oxford University Press, 1982.
Confessions of an Actor. Laurence Olivier, Simon &: Schuster, 1982.
Max Reinhardt (Directors in Perspective). John L. Styan, Cambridge University Press, 1982.
Training for the Theatre: Premises and Promises. Michel Saint-Denis, Theatre Arts Books, 1982.
The End of Humanism. Richard Schechner, Performing Arts Journal Publications, 1982.
James Whale. James Curtis, Scarecrow Press, 1982.
The Director and the Stage: From Naturalism to Grotowski. 
Ingmar Bergman: A Project for the Theater. Ingmar Bergman, Ungar, 1983.
Brecht: A Biography. Ronald Hayman, Oxford University Press, 1983.
Hajj. Lee Breuer, published in Word Plays 3, PAJ Press, 1983.
Craig on Theatre. M.J. Walton, ed., Methuen, 1983.
Peter Hall’s Diaries: The Story of a Dramatic Battle. Peter Hall, edited by John Goodwin, Methuen, 1983.
Final Dress. John Houseman, Simon & Schuster, 1983.
An American Odyssey: Elia Kazan and American Culture. Thomas H. Pauly, Temple University Press, 1983.
Creating a Role. Konstantin Stanislavsky, trans. Elizabeth Reynolds Hapgood, Methuen, 1983.
Play Direction. John E. Dietrich, and Ralph W. Duckwall. Prentice-Hall, 2nd edition,  1983
Alan Ayckbourn (Twayne’s English Author Series). Sidney Howard White, Twayne Pub, 1984.
A Sense of Direction: Some Observations on the Art of Directing. William Ball, Drama Book Publishers, 1984.
Talking with Ingmar Bergman. Ingmar Bergman, Southern Methodist University, 1984.
Joseph Chaikin: Exploring at the Boundaries of Theater. Eileen Blumenthal, Cambridge University Press, 1984.
Michael Chekhov’s To the Director and Playwright, Michael Chekhov, edited by Charles Leonard, Harper & Row, 1963. [Limelight Editions, 1984]
Plays by Augustin Daly. Augustin Daly, ed. Don M.B. Wilmeth and Rosemary Cullen, Cambridge University Press, 1984
Evreinov: The Theatre of Paradox and Transformation. Spencer Golub, UMI Research Press, 1984.
The Theater Duke: Georg II of Saxe-Meiningen and the German Stage. Ann Marie Koller, Stanford University Press, 1984.
Granville Barker: A Secret Life. Eric Salmon, Fairleigh Dickinson University Press, 1984.
The Ring: Anatomy of an Opera. Stephen Fay, Secker and Warburg, 1984.
Jed Harris: The Curse of Genius. Martin Gottfried, Little, Brown, 1984.
Slings and Arrows: Theater in My Life. Robert Lewis, Stein and Day, 1984.
Laurence Olivier. Felix Barker, Spellmount, 1984.
Laurence Olivier. Melvyn Bragg, Hutchinson, 1984.
William Poe’s Hamlets: The Director as Critic. Rinda F. Lundstrom, UMI Research Press, 1984.
A Method to Their Madness: A History of the Actors Study. Foster Hirsch, Da Capo, 1984.
Robert Wilson: The Theater of Images. Craig Nelson, ed., Harper & Row, 1984.
The Theater of Images. Robert Wilson, Harper Collins, 1984.
Creative Play Direction. 
A Sense of Direction: Some Observations on the Art of Directing. 
The Dilated Body. Eugenio Barba, trans. Richard Fowler, Zeami Libri, 1985.
Directions by Indirections: John Barton of the Royal Shakespeare Company, Michael L. Greenwald, University of Delaware Press, 1985.
The Theatre of Meyerhold and Brecht. Katherine Bliss Eaton, Greenwood Press, 1985.
Lessons for the Professional Actor. Michael Chekhov, PAJ Publications, 1985.
Reverberation Machines: Later Plays and Essays. Richard Foreman, Station Hill Press, 1985.
Granville Barker and the Dream of Theater. Dennis Kennedy, Cambridge University Press, 1985.
The Theater of Grotowski. Jennifer Kumiega, Methuen, 1985.
The Theatre of Meyerhold and Brecht. Katherine Bliss Eaton, Greenwood Press, 1985.
The Company She Keeps: Tina Packer Builds a Theater. Helen Epstein, Plunkett Lake Press, 1985.
Strasberg’s Method As Taught by Lorrie Hull: A Practical Guide for Actors, Directors, and Teachers. S. Loraine Hull, Ox Bow Press, 1985.
Orson Welles: The Rise and Fall of an American Genius. Charles Higham, St. Martin’s, 1985.
Orson Welles: A Biography. Barbara Leaming, Viking, 1985.
The Director at Work. 
Controls in Play Directing: Types and Styles of Plays.
The Creation of an Ensemble: The First Years of the American Conservatory Theatre. John R. Wilk, Southern Illinois University Press 1986
Beyond the Floating Islands. Eugenio Barba, multiple translators, PAJ Publications, 1986.
Great Directors at Work: Stanislavsky, Brecht, Kazan, Brook. David Richard Jones, University of California Press, 1986.
Great Directors at Work: Stanislavsky, Brecht, Kazan, Brook. David Richard Jones, University of California Press, 1986.
Jacques Copeau (Directors in Perspective). John Rudlin, Cambridge University Press, 1986.
David Garrick: A Biography. Alan Kendall, St. Martins, 1986.
Harley Granville-Barker: A Preface to Modern Theatre. Christine Dymkovski, Folger, 1986.
Grotowski and His Laboratory. Zbigniew Osinski, trans. Lillian Vallee & Robert Findlay, PAJ Publications, 1986.
Great Directors at Work: Stanislavsky, Brecht, Kazan, Brook. David Richard Jones, Univ. of California Press, 1986.
